907 : [(12, 14), (24, 23), (16, 7), (15, 21), (13, 2), (4, 1), (7, 5), (5, 14), (17, 15), (1, 15), (10, 1), (4, 9), (8, 7), (17, 9), (11, 3), (20, 6), (8, 9), (22, 11), (3, 9), (2, 16), (20, 16), (0, 13), (18, 20), (10, 0), (17, 21), (0, 22), (13, 4), (11, 17), (4, 8), (12, 9), (22, 18), (18, 10), (0, 14), (18, 2), (13, 19), (10, 3), (24, 15), (12, 24), (8, 10), (7, 23), (2, 6), (1, 13), (8, 1), (3, 19), (19, 21), (6, 4), (2, 3), (24, 16), (5, 12), (11, 0)]
895 : [(0, 14), (20, 16), (4, 9), (15, 21), (1, 15), (2, 3), (2, 6), (10, 1), (20, 6), (24, 15), (12, 14), (0, 13), (0, 22), (8, 7), (12, 24), (8, 10), (8, 1), (13, 4), (18, 2), (8, 9), (5, 12), (19, 21), (16, 7), (13, 19), (22, 18), (13, 2), (6, 4), (2, 16), (18, 10), (12, 9), (10, 3), (1, 13), (7, 23), (17, 15), (4, 8), (4, 1), (3, 19), (11, 0), (17, 21), (5, 14), (7, 5), (24, 23), (18, 20), (17, 9), (22, 11), (11, 17), (24, 16), (10, 0), (3, 9), (11, 3)]
919 : [(7, 5), (13, 19), (18, 2), (8, 1), (10, 1), (18, 10), (1, 15), (15, 21), (2, 16), (0, 13), (24, 23), (11, 17), (17, 15), (8, 9), (17, 9), (10, 0), (4, 8), (0, 14), (20, 6), (5, 12), (24, 15), (11, 3), (12, 14), (4, 1), (2, 3), (10, 3), (13, 4), (22, 11), (13, 2), (6, 4), (2, 6), (22, 18), (3, 9), (17, 21), (24, 16), (16, 7), (8, 10), (12, 24), (11, 0), (12, 9), (18, 20), (1, 13), (5, 14), (20, 16), (8, 7), (7, 23), (3, 19), (4, 9), (19, 21), (0, 22)]
897 : [(2, 3), (7, 23), (8, 7), (12, 9), (18, 2), (8, 10), (0, 14), (0, 22), (18, 10), (4, 1), (7, 5), (18, 20), (11, 3), (0, 13), (24, 23), (5, 14), (24, 16), (3, 9), (2, 6), (1, 13), (4, 8), (17, 15), (19, 21), (8, 1), (17, 9), (13, 2), (6, 4), (10, 1), (13, 4), (12, 24), (15, 21), (12, 14), (10, 3), (2, 16), (5, 12), (16, 7), (17, 21), (20, 16), (24, 15), (8, 9), (22, 18), (3, 19), (4, 9), (10, 0), (1, 15), (11, 0), (22, 11), (20, 6), (13, 19), (11, 17)]
931 : [(12, 9), (7, 23), (19, 21), (8, 9), (11, 0), (10, 1), (18, 20), (15, 21), (12, 24), (22, 18), (20, 16), (4, 9), (1, 15), (13, 19), (12, 14), (8, 1), (5, 14), (18, 10), (24, 16), (0, 13), (4, 1), (13, 2), (16, 7), (3, 19), (1, 13), (17, 21), (11, 17), (3, 9), (10, 3), (4, 8), (10, 0), (18, 2), (13, 4), (17, 9), (11, 3), (20, 6), (22, 11), (24, 15), (7, 5), (8, 7), (6, 4), (2, 3), (17, 15), (0, 22), (24, 23), (0, 14), (2, 6), (2, 16), (5, 12), (8, 10)]
913 : [(7, 23), (5, 14), (24, 15), (12, 24), (22, 11), (24, 23), (13, 2), (11, 17), (8, 7), (0, 13), (16, 7), (6, 4), (0, 22), (19, 21), (20, 6), (17, 9), (2, 3), (13, 19), (1, 15), (10, 0), (18, 10), (3, 9), (2, 6), (20, 16), (18, 20), (7, 5), (3, 19), (12, 14), (4, 1), (11, 0), (18, 2), (13, 4), (0, 14), (15, 21), (17, 15), (8, 10), (8, 9), (10, 3), (12, 9), (5, 12), (8, 1), (24, 16), (10, 1), (22, 18), (4, 8), (4, 9), (2, 16), (11, 3), (17, 21), (1, 13)]
955 : [(15, 21), (13, 4), (0, 13), (11, 17), (11, 3), (3, 9), (24, 15), (4, 9), (13, 2), (7, 5), (2, 3), (2, 16), (18, 10), (17, 15), (16, 7), (18, 2), (5, 12), (0, 22), (8, 1), (18, 20), (11, 0), (19, 21), (4, 1), (12, 14), (3, 19), (17, 9), (10, 1), (6, 4), (10, 3), (1, 13), (20, 16), (12, 9), (8, 10), (12, 24), (10, 0), (20, 6), (7, 23), (8, 9), (2, 6), (24, 23), (22, 11), (17, 21), (24, 16), (13, 19), (5, 14), (22, 18), (8, 7), (4, 8), (0, 14), (1, 15)]
931 : [(7, 23), (18, 2), (22, 11), (13, 4), (17, 15), (17, 21), (0, 22), (8, 7), (4, 9), (10, 3), (5, 12), (1, 13), (22, 18), (11, 17), (3, 9), (16, 7), (17, 9), (11, 3), (20, 16), (11, 0), (18, 20), (0, 13), (24, 23), (20, 6), (5, 14), (13, 2), (12, 14), (18, 10), (3, 19), (2, 3), (0, 14), (13, 19), (24, 16), (2, 6), (8, 1), (24, 15), (4, 1), (1, 15), (8, 10), (15, 21), (2, 16), (12, 9), (8, 9), (6, 4), (10, 1), (12, 24), (7, 5), (4, 8), (19, 21), (10, 0)]
947 : [(0, 22), (0, 14), (12, 14), (8, 7), (11, 17), (17, 15), (3, 19), (11, 3), (3, 9), (24, 23), (20, 16), (18, 20), (13, 2), (10, 0), (2, 3), (8, 9), (11, 0), (18, 2), (6, 4), (17, 9), (20, 6), (7, 5), (12, 9), (13, 19), (7, 23), (16, 7), (12, 24), (4, 8), (13, 4), (1, 13), (10, 1), (4, 9), (0, 13), (8, 1), (5, 12), (19, 21), (10, 3), (22, 18), (17, 21), (2, 16), (24, 15), (5, 14), (4, 1), (8, 10), (1, 15), (18, 10), (22, 11), (2, 6), (24, 16), (15, 21)]
905 : [(12, 24), (4, 8), (16, 7), (0, 13), (18, 10), (24, 23), (22, 18), (24, 15), (3, 19), (1, 13), (8, 7), (18, 2), (6, 4), (17, 15), (8, 1), (19, 21), (7, 23), (11, 17), (20, 16), (15, 21), (18, 20), (17, 9), (12, 9), (0, 22), (11, 0), (0, 14), (5, 12), (4, 9), (2, 3), (13, 2), (2, 6), (13, 4), (8, 10), (4, 1), (10, 0), (2, 16), (17, 21), (7, 5), (12, 14), (24, 16), (3, 9), (8, 9), (10, 3), (10, 1), (5, 14), (11, 3), (13, 19), (20, 6), (1, 15), (22, 11)]
